"yyyymm"	"Cnsmr"	"Manuf"	"HiTec"	"Hlth"	"Other"	"b.m"	"ntis"	"infl"
196903	3.61	3.31	3.32	3.34	0.75	0.557040236	0.0395080918	0.0083798883
196904	1.85	0.78	5.25	4.98	1.81	0.5484224042	0.0442910344	0.0055401662
196905	0.53	0.72	-0.71	1.66	-1.11	0.5558044285	0.044005738	0.0027548209
196906	-6.26	-7.64	-1.54	-5.03	-10.67	0.5967773337	0.0451528579	0.0054945055
196907	-7.4	-6.45	-5.1	-2.73	-9.12	0.6390179896	0.0511609959	0.0054644809
196908	5.08	3.97	5.14	9.2	9.02	0.6227889856	0.0469148529	0.0054347826
196909	-0.24	-4.8	-1.21	2.17	-0.74	0.6408884625	0.0483913402	0.0027027027
196910	6.15	4.58	5.04	8.97	7.93	0.608768794	0.0486304206	0.0053908356
196911	-3.7	-4.12	-0.83	0.34	-5.54	0.6415117567	0.0479041363	0.0053619303
196912	-2.81	-1.66	-2.31	4.3	-3.75	0.6510820131	0.0342737833	0.0053333333
197001	-6.22	-7.89	-6.99	-7.11	-8.81	0.7003467462	0.034473208	0.0026525199
197002	5.3	5.58	4.62	5.57	9.39	0.670147507	0.035855217	0.0052910053
197003	1.04	0.12	-0.91	-5.1	-1.91	0.6903267691	0.0358415812	0.0052631579
197004	-9.95	-8.89	-12.38	-10.12	-13.7	0.7367505808	0.0357121248	0.0078534031
197005	-7.59	-4.56	-7.41	-7.74	-8.29	0.7742276283	0.0386610283	0.0025974026
197006	-3.09	-4.08	-10.51	-0.48	-6.83	0.7933814171	0.0422991826	0.0051813472
197007	9.11	7.89	5.42	2.14	8.02	0.7387075682	0.0430816344	0.0051546392
197008	5.1	5.16	5.79	1.8	5.03	0.7092782966	0.0387367292	0
197009	5.17	2.97	5.88	8.01	7.61	0.7129147605	0.0379495959	0.0051282051
197010	-1.02	-0.86	-3.61	0.31	-5.89	0.7176982835	0.0369697948	0.0051020408
197011	6.14	5.19	4.81	2.97	3.74	0.682920072	0.0352318942	0.0050761421
197012	6.41	6.04	5.31	5.34	8.37	0.6464263577	0.0314681737	0.0050505051
197101	5.42	3.73	7.03	4.92	7.79	0.6244099021	0.0305992921	0
197102	3.18	1.57	-0.27	1.31	2.22	0.6170704232	0.0258074728	0.0025125628
197103	4.76	3.45	5.46	3.68	5.94	0.6338113825	0.0264046828	0.0025062657
197104	5.36	3.04	1.84	4.23	4.34	0.6086541014	0.0265626273	0.0025
197105	-3.2	-3.21	-5.81	-2.13	-4.53	0.6314096562	0.0297284547	0.0049875312
